央视频道,#genre#
1号,http://123.168.95.53:4000/rtp/239.21.2.1:5002
20号,http://123.168.95.53:4000/rtp/239.21.2.20:5002
210号,http://123.168.95.53:4000/rtp/239.21.1.210:5002
221号,http://123.168.95.53:4000/rtp/239.21.1.221:5002
229号,http://123.168.95.53:4000/rtp/239.21.1.229:5002
246号,http://123.168.95.53:4000/rtp/239.21.1.246:5002
249号,http://123.168.95.53:4000/rtp/239.21.1.249:5002
252号,http://123.168.95.53:4000/rtp/239.21.1.252:5002
254号,http://123.168.95.53:4000/rtp/239.21.1.254:5002
49号,http://123.168.95.53:4000/rtp/239.21.2.49:5002
51号,http://123.168.95.53:4000/rtp/239.21.2.51:5002
52号,http://123.168.95.53:4000/rtp/239.21.2.52:5002
56号,http://123.168.95.53:4000/rtp/239.21.2.56:5002
58号,http://123.168.95.53:4000/rtp/239.21.2.58:5002
60号,http://123.168.95.53:4000/rtp/239.21.2.60:5002
62号,http://123.168.95.53:4000/rtp/239.21.1.62:5002
62号,http://123.168.95.53:4000/rtp/239.21.2.62:5002
64号,http://123.168.95.53:4000/rtp/239.21.1.64:5002
65号,http://123.168.95.53:4000/rtp/239.21.1.65:5002
66号,http://123.168.95.53:4000/rtp/239.21.1.66:5002
66号,http://123.168.95.53:4000/rtp/239.21.2.66:5002
68号,http://123.168.95.53:4000/rtp/239.21.1.68:5002
68号,http://123.168.95.53:4000/rtp/239.21.2.68:5002
71号,http://123.168.95.53:4000/rtp/239.21.1.71:5002
74号,http://123.168.95.53:4000/rtp/239.21.1.74:5002
75号,http://123.168.95.53:4000/rtp/239.21.1.75:5002
76号,http://123.168.95.53:4000/rtp/239.21.1.76:5002
77号,http://123.168.95.53:4000/rtp/239.21.1.77:5002
79号,http://123.168.95.53:4000/rtp/239.21.1.79:5002
81号,http://123.168.95.53:4000/rtp/239.21.1.81:5002
81号,http://123.168.95.53:4000/rtp/239.21.2.81:5002
82号,http://123.168.95.53:4000/rtp/239.21.1.82:5002
82号,http://123.168.95.53:4000/rtp/239.21.2.82:5002
84号,http://123.168.95.53:4000/rtp/239.21.1.84:5002
87号,http://123.168.95.53:4000/rtp/239.21.2.87:5002
88号,http://123.168.95.53:4000/rtp/239.21.2.88:5002
89号,http://123.168.95.53:4000/rtp/239.21.2.89:5002
90号,http://123.168.95.53:4000/rtp/239.21.2.90:5002
91号,http://123.168.95.53:4000/rtp/239.21.2.91:5002
96号,http://123.168.95.53:4000/rtp/239.21.2.96:5002
98号,http://123.168.95.53:4000/rtp/239.21.2.98:5002
99号,http://123.168.95.53:4000/rtp/239.21.2.99:5002
CCTVNEWS,http://123.168.95.53:4000/rtp/239.21.1.10:5002
JXTV,http://123.168.95.53:4000/rtp/239.21.1.236:5002
东平,http://123.168.95.53:4000/rtp/239.21.1.216:5002
中国足协杯,http://123.168.95.53:4000/rtp/239.21.1.108:5002
乳山,http://123.168.95.53:4000/rtp/239.21.1.220:5002
光影,http://123.168.95.53:4000/rtp/239.21.1.131:5002
兰陵,http://123.168.95.53:4000/rtp/239.21.1.237:5002
农林卫视,http://123.168.95.53:4000/rtp/239.21.1.235:5002
北京纪实,http://123.168.95.53:4000/rtp/239.21.1.172:5002
喜剧影院,http://123.168.95.53:4000/rtp/239.21.1.122:5002
墨宝,http://123.168.95.53:4000/rtp/239.21.1.130:5002
夏津,http://123.168.95.53:4000/rtp/239.21.1.106:5002
定陶,http://123.168.95.53:4000/rtp/239.21.1.244:5002
居家购物,http://123.168.95.53:4000/rtp/239.21.1.112:5002
崂山,http://123.168.95.53:4000/rtp/239.21.2.12:5002
无棣,http://123.168.95.53:4000/rtp/239.21.1.214:5002
曲阜,http://123.168.95.53:4000/rtp/239.21.1.225:5002
济阳,http://123.168.95.53:4000/rtp/239.21.1.215:5002
海洋,http://123.168.95.53:4000/rtp/239.21.2.119:5002
热播剧场,http://123.168.95.53:4000/rtp/239.21.1.128:5002
综合,http://123.168.95.53:4000/rtp/239.21.1.239:5002
综合,http://123.168.95.53:4000/rtp/239.21.1.243:5002
综艺,http://123.168.95.53:4000/rtp/239.21.1.240:5002
美人,http://123.168.95.53:4000/rtp/239.21.1.132:5002
茬平,http://123.168.95.53:4000/rtp/239.21.1.219:5002
荣成,http://123.168.95.53:4000/rtp/239.21.1.227:5002
足球,http://123.168.95.53:4000/rtp/239.21.1.162:5002
邹平,http://123.168.95.53:4000/rtp/239.21.1.238:5002
金色学堂,http://123.168.95.53:4000/rtp/239.21.2.102:5002
齐河,http://123.168.95.53:4000/rtp/239.21.1.230:5002
更新时间,#genre#
2024-10-06 04:30:54,https://taoiptv.com/time.mp4
