央视频道,#genre#
深圳卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_SHENZHEN-HQ.m3u8&sign=1thrd3
天津卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_TIANJIN-HD-265-5M.m3u8&sign=1thrd3
甘肃卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_GANSU.m3u8&sign=1thrd3
重庆卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-8000k-1080P-chongqingstv.m3u8&sign=1thrd3
广西卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=GXWS.m3u8&sign=1thrd3
贵州卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_GUIZHOU.m3u8&sign=1thrd3
海南卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=LYWS.m3u8&sign=1thrd3
河北卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_HEBEI.m3u8&sign=1thrd3
河南卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=HENAN.m3u8&sign=1thrd3
吉林卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JILIN.m3u8&sign=1thrd3
江西卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=JXWS.m3u8&sign=1thrd3
内蒙古卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_NEIMENGGU.m3u8&sign=1thrd3
宁夏卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_NINGXIA.m3u8&sign=1thrd3
山西卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=SXWS.m3u8&sign=1thrd3
陕西卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_SHANXI.m3u8&sign=1thrd3
四川卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=SCWS.m3u8&sign=1thrd3
西藏卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_XIZANG.m3u8&sign=1thrd3
新疆卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_XINJIANG.m3u8&sign=1thrd3
青海卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_QINGHAI.m3u8&sign=1thrd3
厦门卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_XIAMEN.m3u8&sign=1thrd3
云南卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_YUNNAN.m3u8&sign=1thrd3
安多卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_ANDUO.m3u8&sign=1thrd3
兵团卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_BINGTUAN.m3u8&sign=1thrd3
东南卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=DNWS.m3u8&sign=1thrd3
康巴卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_KANGBA.m3u8&sign=1thrd3
农林卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_NONGLIN.m3u8&sign=1thrd3
延边卫视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_YANBIAN.m3u8&sign=1thrd3

港澳频道,#genre#
凤凰资讯,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-10000k-1080P-fhzixun5s.m3u8&sign=1thrd3
凤凰中文,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-10000k-1080P-fhchinese5s.m3u8&sign=1thrd3
凤凰香港,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-10000k-1080P-fhhongkong5s.m3u8&sign=1thrd3

数字频道,#genre#
纯享4K,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-20M-2160P-chunxiang4k.m3u8&sign=1thrd3
欢笑剧场4K,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-15M-2160P-jshuanxiaojc.m3u8&sign=1thrd3
黑莓电影,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-8000k-1080P-Supermovie.m3u8&sign=1thrd3
影视剧场,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-1.m3u8&sign=1thrd3
第一院线,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-2.m3u8&sign=1thrd3
高分电影,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-14.m3u8&sign=1thrd3
美食美味,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-17.m3u8&sign=1thrd3
动物世界,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-19.m3u8&sign=1thrd3
奥特曼,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-9.m3u8&sign=1thrd3
熊出没,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-10.m3u8&sign=1thrd3
汪汪队,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-13.m3u8&sign=1thrd3
超级飞侠,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-11.m3u8&sign=1thrd3
小猪佩奇,http://114.55.117.163:8081/iptv/jsyd.php?id=GITV-JS-12.m3u8&sign=1thrd3
金鹰卡通,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JINYING.m3u8&sign=1thrd3
炫动卡通,http://114.55.117.163:8081/iptv/jsyd.php?id=G_XUANDONG.m3u8&sign=1thrd3
嘉佳卡通,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JIAJIA.m3u8&sign=1thrd3
优漫卡通,http://114.55.117.163:8081/iptv/jsyd.php?id=G_YOUMAN.m3u8&sign=1thrd3
卡酷少儿,http://114.55.117.163:8081/iptv/jsyd.php?id=G_KAKU.m3u8&sign=1thrd3
篮球,http://114.55.117.163:8081/iptv/jsyd.php?id=G_LANQIU.m3u8&sign=1thrd3
老故事,http://114.55.117.163:8081/iptv/jsyd.php?id=G_LAOGUSHI.m3u8&sign=1thrd3
发现之旅,http://114.55.117.163:8081/iptv/jsyd.php?id=G_FAXIANZL.m3u8&sign=1thrd3
家庭理财,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JIATINGLC.m3u8&sign=1thrd3
炫舞未来,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-4000k-1080P-xwwl.m3u8&sign=1thrd3
睛彩篮球,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-8000k-1080P-miguaoyun1.m3u8&sign=1thrd3
睛彩竞技,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-8000k-1080P-miguaoyun2.m3u8&sign=1thrd3
睛彩青少,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-8000k-1080P-quanminrl.m3u8&sign=1thrd3

本地频道,#genre#
北京纪实,http://114.55.117.163:8081/iptv/jsyd.php?id=HD-8000k-1080P-beijingjishi.m3u8&sign=1thrd3
上海纪实,http://114.55.117.163:8081/iptv/jsyd.php?id=H265-5500k-1080P-shanghaijishi.m3u8&sign=1thrd3
山东教育,http://114.55.117.163:8081/iptv/jsyd.php?id=G_SDETV.m3u8&sign=1thrd3
江苏城市,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JSCS.m3u8&sign=1thrd3
江苏公共,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JSGG.m3u8&sign=1thrd3
江苏教育,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JSJY.m3u8&sign=1thrd3
江苏休闲,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JSTY.m3u8&sign=1thrd3
江苏影视,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JSYS.m3u8&sign=1thrd3
江苏综艺,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JSZY.m3u8&sign=1thrd3
好享购物,http://114.55.117.163:8081/iptv/jsyd.php?id=G_HAOXIANG.m3u8&sign=1thrd3
居家优选,http://114.55.117.163:8081/iptv/jsyd.php?id=G_JUJIAYX.m3u8&sign=1thrd3
优购物,http://114.55.117.163:8081/iptv/jsyd.php?id=jsyougou.m3u8&sign=1thrd3
时尚购物,http://114.55.117.163:8081/iptv/jsyd.php?id=jsshishanggw.m3u8&sign=1thrd3

广播频道,#genre#
江苏财经,http://114.55.117.163:8081/iptv/jsyd.php?id=R_CAIJING.m3u8&sign=1thrd3
江苏健康,http://114.55.117.163:8081/iptv/jsyd.php?id=R_JIANKANG.m3u8&sign=1thrd3
江苏文艺,http://114.55.117.163:8081/iptv/jsyd.php?id=R_WENYI.m3u8&sign=1thrd3
江苏音乐,http://114.55.117.163:8081/iptv/jsyd.php?id=R_YINYUE.m3u8&sign=1thrd3
流行音乐,http://114.55.117.163:8081/iptv/jsyd.php?id=R_JINGDIANLX.m3u8&sign=1thrd3
金陵之声,http://114.55.117.163:8081/iptv/jsyd.php?id=R_997.m3u8&sign=1thrd3
江苏交通,http://114.55.117.163:8081/iptv/jsyd.php?id=R_JIAOTONG.m3u8&sign=1thrd3
江苏新闻,http://114.55.117.163:8081/iptv/jsyd.php?id=R_XINWEN.m3u8&sign=1thrd3
江苏综合,http://114.55.117.163:8081/iptv/jsyd.php?id=R_XINWENZH.m3u8&sign=1thrd3
江苏故事,http://114.55.117.163:8081/iptv/jsyd.php?id=R_GUSHI.m3u8&sign=1thrd3
